"Geography","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022"
"Canada","114.6","112.2","91.3","77.8","91.4","101.0","105.5","104.6","104.1","102.6","101.1","104.4","111.0","118.2","125.0","127.5","131.5","133.7","138.4","139.0","138.9","146.0","145.8","140.0","146.6","156.8","175.2","173.8","194.8","207.2"
"St. John's, Newfoundland and Labrador","123.6","120.2","101.4","81.3","91.5","102.9","107.2","106.7","106.6","110.3","112.0","117.0","124.8","130.8","141.6","141.2","143.5","145.0","153.4","151.9","153.8","160.2","159.1","151.7","159.2","170.9","187.8","189.9","215.5","219.7"
"Charlottetown and Summerside, Prince Edward Island","113.6","111.0","90.2","73.6","82.6","94.8","99.7","99.5","98.8","99.6","95.8","101.5","109.1","115.3","125.4","126.2","129.5","130.9","137.1","136.7","137.5","143.9","143.5","134.6","143.5","154.8","172.4","171.0","204.5","214.2"
"Halifax, Nova Scotia","112.4","107.5","85.4","67.9","78.2","89.8","96.1","94.7","94.2","94.1","91.0","96.5","107.5","115.4","125.0","125.1","127.6","129.2","135.4","134.1","135.1","142.4","140.8","130.7","141.4","153.8","171.1","169.1","195.8","208.1"
"Saint John, New Brunswick","117.8","113.3","95.4","73.4","82.8","92.7","98.2","96.9","97.0","96.8","94.3","98.8","106.1","112.3","123.1","125.8","128.7","130.2","135.8","136.3","137.7","143.1","146.0","139.6","142.2","153.2","169.6","174.4","194.2","210.6"
"Québec, Quebec","115.1","113.4","99.1","81.1","93.5","103.8","109.5","108.3","107.7","101.1","103.0","107.2","114.8","121.1","128.4","128.7","133.8","134.7","137.7","139.9","144.6","150.6","154.6","149.8","152.7","164.5","181.5","180.8","206.6","219.7"
"Montréal, Quebec","122.1","120.1","99.3","85.5","97.0","105.6","110.6","109.3","106.6","105.4","104.8","108.7","115.4","122.5","129.1","128.5","133.8","136.4","139.7","141.2","143.3","151.6","152.1","148.3","155.5","166.6","183.7","181.2","205.4","216.5"
"Ottawa-Gatineau, Ontario part, Ontario/Quebec","111.6","108.4","84.3","78.3","90.7","99.4","103.7","103.3","101.1","100.1","98.7","103.2","110.9","117.7","123.1","125.4","129.9","131.3","134.7","135.7","136.3","143.5","142.6","136.0","144.3","156.0","172.0","174.3","198.0","205.7"
"Toronto, Ontario","114.6","111.0","86.1","79.1","91.2","99.9","104.3","103.9","101.8","100.7","99.3","103.6","110.9","118.1","123.8","125.9","130.2","132.6","136.4","137.2","137.9","145.3","144.3","137.7","146.1","157.5","173.0","174.3","198.0","205.9"
"Thunder Bay, Ontario","127.6","126.0","110.9","84.9","100.1","111.8","117.7","116.2","116.4","116.0","113.3","114.6","121.4","125.3","132.9","138.5","138.5","140.0","146.2","146.7","146.8","153.7","153.8","143.8","149.9","157.5","186.9","187.9","196.0","214.4"
"Winnipeg, Manitoba","101.6","102.5","84.5","67.7","85.2","95.5","99.9","97.8","96.7","101.1","95.9","95.7","102.9","109.2","115.9","122.7","127.8","127.1","131.5","131.8","131.8","141.2","138.7","130.7","138.5","147.1","169.8","170.9","183.1","205.3"
"Regina, Saskatchewan","109.8","105.1","88.4","71.7","87.9","96.7","102.4","101.1","102.8","97.8","98.4","99.8","104.1","110.6","120.4","127.9","127.0","127.0","131.8","131.8","131.8","141.6","143.4","130.8","137.0","145.9","168.5","167.3","181.4","203.8"
"Saskatoon, Saskatchewan","110.0","107.1","85.2","65.6","85.7","96.5","103.3","102.0","103.6","102.0","97.5","100.0","103.8","110.3","119.7","126.5","125.3","126.5","131.3","131.3","131.7","141.3","143.0","129.7","135.7","145.7","168.2","167.2","181.5","202.9"
"Edmonton, Alberta","98.8","96.4","77.0","62.4","83.3","92.0","95.0","92.2","98.8","92.0","90.2","94.7","100.9","109.0","114.5","119.9","123.4","125.6","133.0","132.3","129.5","138.3","136.0","130.6","133.7","142.2","161.7","150.5","163.3","186.0"
"Calgary, Alberta","101.6","99.0","79.2","66.2","87.2","95.1","97.4","97.5","104.9","104.5","103.7","101.9","102.8","111.3","117.3","123.6","127.3","130.3","135.6","135.2","133.1","140.8","141.9","139.5","138.9","145.4","164.7","155.5","167.4","189.5"
"Vancouver, British Columbia","139.9","145.9","121.4","96.7","113.0","127.2","131.4","130.0","125.9","122.3","123.6","126.1","134.6","141.2","149.6","152.2","155.6","161.1","169.1","165.6","156.7","162.4","159.8","157.2","170.5","177.1","198.3","198.5","220.1","225.4"
"Victoria, British Columbia","139.7","143.2","126.3","99.4","107.9","123.2","129.8","127.9","125.0","121.6","119.9","120.3","128.0","137.6","148.1","148.3","154.3","155.2","167.2","163.1","156.3","160.9","158.2","152.6","164.6","170.1","196.6","194.1","217.4","225.2"
"Whitehorse, Yukon","142.9","142.5","125.5","100.9","103.0","115.3","119.9","119.9","119.8","119.9","119.9","119.9","124.1","127.1","132.8","139.8","141.6","144.9","148.9","154.6","155.8","155.9","155.9","155.9","157.2","164.5","177.0","182.8","202.2","217.1"
"Yellowknife, Northwest Territories","129.7","127.6","112.4","94.7","96.7","109.5","115.0","116.5","117.2","120.0","118.9","118.9","121.4","124.3","130.4","135.7","140.9","143.1","147.6","149.8","149.9","150.6","152.8","151.5","151.5","158.1","175.6","174.4","187.0","208.1"
